local_id,instance_type,ami
c1.medium,c1.medium,ami-09d3b3274b6c5d4aa
c3.large,c3.large,ami-09d3b3274b6c5d4aa
c4.large,c4.large,ami-09d3b3274b6c5d4aa
c5.large,c5.large,ami-09d3b3274b6c5d4aa
c5a.large,c5a.large,ami-09d3b3274b6c5d4aa
c5ad.large,c5ad.large,ami-09d3b3274b6c5d4aa
c5d.large,c5d.large,ami-09d3b3274b6c5d4aa
c5n.large,c5n.large,ami-09d3b3274b6c5d4aa
c6a.large,c6a.large,ami-09d3b3274b6c5d4aa
c6i.large,c6i.large,ami-09d3b3274b6c5d4aa
c6id.large,c6id.large,ami-09d3b3274b6c5d4aa
d2.xlarge,d2.xlarge,ami-09d3b3274b6c5d4aa
d3.xlarge,d3.xlarge,ami-09d3b3274b6c5d4aa
d3en.xlarge,d3en.xlarge,ami-09d3b3274b6c5d4aa
dl1.24xlarge,dl1.24xlarge,ami-09d3b3274b6c5d4aa
f1.2xlarge,f1.2xlarge,ami-09d3b3274b6c5d4aa
g2.2xlarge,g2.2xlarge,ami-09d3b3274b6c5d4aa
g3s.xlarge,g3s.xlarge,ami-09d3b3274b6c5d4aa
g4ad.xlarge,g4ad.xlarge,ami-09d3b3274b6c5d4aa
g4dn.xlarge,g4dn.xlarge,ami-09d3b3274b6c5d4aa
g5.xlarge,g5.xlarge,ami-09d3b3274b6c5d4aa
h1.2xlarge,h1.2xlarge,ami-09d3b3274b6c5d4aa
i2.xlarge,i2.xlarge,ami-09d3b3274b6c5d4aa
i3.large,i3.large,ami-09d3b3274b6c5d4aa
i3en.large,i3en.large,ami-09d3b3274b6c5d4aa
i4i.large,i4i.large,ami-09d3b3274b6c5d4aa
inf1.xlarge,inf1.xlarge,ami-09d3b3274b6c5d4aa
m1.small,m1.small,ami-09d3b3274b6c5d4aa
m2.xlarge,m2.xlarge,ami-09d3b3274b6c5d4aa
m3.medium,m3.medium,ami-09d3b3274b6c5d4aa
m4.large,m4.large,ami-09d3b3274b6c5d4aa
m5.large,m5.large,ami-09d3b3274b6c5d4aa
m5a.large,m5a.large,ami-09d3b3274b6c5d4aa
m5ad.large,m5ad.large,ami-09d3b3274b6c5d4aa
m5d.large,m5d.large,ami-09d3b3274b6c5d4aa
m5dn.large,m5dn.large,ami-09d3b3274b6c5d4aa
m5n.large,m5n.large,ami-09d3b3274b6c5d4aa
m5zn.large,m5zn.large,ami-09d3b3274b6c5d4aa
m6a.large,m6a.large,ami-09d3b3274b6c5d4aa
m6i.large,m6i.large,ami-09d3b3274b6c5d4aa
m6id.large,m6id.large,ami-09d3b3274b6c5d4aa
p2.xlarge,p2.xlarge,ami-09d3b3274b6c5d4aa
r3.large,r3.large,ami-09d3b3274b6c5d4aa
r4.large,r4.large,ami-09d3b3274b6c5d4aa
r5.large,r5.large,ami-09d3b3274b6c5d4aa
r5a.large,r5a.large,ami-09d3b3274b6c5d4aa
r5ad.large,r5ad.large,ami-09d3b3274b6c5d4aa
r5b.large,r5b.large,ami-09d3b3274b6c5d4aa
r5d.large,r5d.large,ami-09d3b3274b6c5d4aa
r5dn.large,r5dn.large,ami-09d3b3274b6c5d4aa
r5n.large,r5n.large,ami-09d3b3274b6c5d4aa
r6a.large,r6a.large,ami-09d3b3274b6c5d4aa
r6i.large,r6i.large,ami-09d3b3274b6c5d4aa
r6id.large,r6id.large,ami-09d3b3274b6c5d4aa
t1.micro,t1.micro,ami-09d3b3274b6c5d4aa
t2.small,t2.small,ami-09d3b3274b6c5d4aa
t3.medium,t3.medium,ami-09d3b3274b6c5d4aa
t3a.medium,t3a.medium,ami-09d3b3274b6c5d4aa
trn1.2xlarge,trn1.2xlarge,ami-09d3b3274b6c5d4aa
vt1.3xlarge,vt1.3xlarge,ami-09d3b3274b6c5d4aa
x1e.xlarge,x1e.xlarge,ami-09d3b3274b6c5d4aa
x2iedn.xlarge,x2iedn.xlarge,ami-09d3b3274b6c5d4aa
z1d.large,z1d.large,ami-09d3b3274b6c5d4aa
g3.4xlarge,g3.4xlarge,ami-09d3b3274b6c5d4aa
p3.2xlarge,p3.2xlarge,ami-09d3b3274b6c5d4aa
x2iezn.2xlarge,x2iezn.2xlarge,ami-09d3b3274b6c5d4aa
